MSOA21CD,%_not deprived,%_deprived-1,%_deprived-2,%_deprived-3,%_deprived-4
E02000298,56.20461004104831,30.533628039153772,8.367540258920114,1.2630249447426587,0.12630249447426586
E02000299,31.79787828029034,34.33835845896148,19.793411501954218,5.8068118369625905,0.7816862088218872
E02000300,31.755915317559154,35.647571606475715,19.333748443337484,5.572851805728519,1.0585305105853051
E02000301,27.820291286102194,35.571463836089855,20.735620834361885,7.208096766230561,0.6171315724512466
E02000302,43.56923076923077,34.58461538461538,14.000000000000002,3.446153846153846,0.21538461538461537
E02000303,26.810477657935284,35.62403697996918,19.753466872110938,8.443759630200308,1.078582434514638
E02000304,55.19736842105263,30.296052631578945,9.177631578947368,0.9868421052631579,0.06578947368421052
E02000305,47.97625472207231,30.464112250404753,12.142471667566108,2.4284943335132216,0.13491635186184567
E02000306,23.982027520359452,37.26481325470373,23.36422353271553,10.474585790508284,0.4493119910137602
E02000307,39.05982905982906,35.95441595441595,16.467236467236468,3.561253561253561,0.2279202279202279
E02000308,42.552578507634685,32.180927686545665,14.289830020167098,3.6012676462114666,0.31691155286660905
E02000309,30.112834978843438,37.588152327221444,19.017395392571697,6.393982134461683,0.611189468735308
E02000311,36.13423517169615,35.14568158168574,17.221644120707598,5.775234131113423,0.2861602497398543
E02000312,40.723238134374355,34.0250667762482,13.2936100267105,3.780562975138689,0.5342099856174234
E02006793,25.75503355704698,36.241610738255034,22.25950782997763,9.395973154362416,1.1465324384787472
E02000313,33.169625991688704,38.118624858330186,19.531545145447677,6.23347185493011,0.9822440498677748
E02000314,42.316684378320936,33.92136025504782,14.516471838469712,5.398512221041445,0.255047821466525
E02000315,33.57045143638851,35.23939808481532,18.960328317373463,6.785225718194255,0.9302325581395349
E02000317,34.62037637897469,32.64114211550941,17.2615184944841,6.586632057105775,0.5191434133679429
E02000318,34.36076119002948,35.21844009648888,19.244170463682657,6.647011525060306,0.5092468507102653
E02000319,39.689471130519166,32.993692382338665,16.03590490053372,5.628335759340127,0.727802037845706
E02000320,43.126888217522655,33.64803625377644,14.91691842900302,4.418429003021148,0.4531722054380665
E02000321,32.5940212150434,35.55126968820315,18.964963034394085,7.135969141755062,0.8357441337190614
E02000323,40.407603370566335,33.29414070154811,14.951989026063101,5.212620027434842,0.5878894767783657
E02000324,37.032085561497325,33.52272727272727,17.245989304812834,7.185828877005347,0.4344919786096257
E02000326,52.780395852968894,27.992459943449578,11.46716933710336,3.2045240339302548,0.34558592522777254
