MSOA21CD,%_Owned-Outright,%_Own-mortgage,%_Own-Share,%_Social-rent,%_Private-rent,%_Rent-free,Empty %
E02000063,23.294509151414307,18.535773710482527,0.7653910149750416,7.420965058236273,44.22628951747088,0.06655574043261231,5.690515806988353
E02000064,17.846258042668474,19.878090077886895,0.9143244158482898,23.19674906874365,31.49339654588554,0.2031832035218422,6.46799864544531
E02006953,7.568969582645603,18.321150672011317,3.607639707616128,14.006130629568498,47.229427021928785,0.21221410044800754,9.054468285781656
E02006954,14.837712519319938,18.856259659969087,3.967027305512622,19.654817104585266,38.4080370942813,0.10303967027305513,4.1731066460587325
E02000065,12.824897400820792,27.599179206566347,0.5129958960328317,27.428180574555405,25.957592339261286,0.615595075239398,5.06155950752394
E02000066,14.16116248348745,15.033025099075298,0.2906208718626156,45.9445178335535,17.96565389696169,0.31704095112285335,6.2879788639365914
E02000067,18.784136784611732,28.18807884113037,0.5699358822132511,19.092852054143908,27.831868914747094,0.11873664212776064,5.414390881025884
E02000068,14.755043227665707,23.314121037463977,4.610951008645533,27.146974063400574,22.13256484149856,0.08645533141210375,7.953890489913545
E02000069,28.067169294037015,34.78409869773817,2.844413982179575,13.879369431117203,16.68951336531871,0.06854009595613435,3.666895133653187
E02000070,40.1468788249694,34.05752753977968,1.2239902080783354,7.741738066095472,12.91309669522644,0.0,3.916768665850673
E02000071,33.24222753672703,35.08711991800478,0.47830543218312266,13.973351554492655,14.041680901947387,0.0341646737273659,3.143149982917663
E02000072,13.175606771364471,31.490923924128083,2.223128696716296,32.89822557617785,15.704670609830714,0.12237405669997961,4.385070365082602
E02000073,42.8254984001969,41.86561653950283,0.4676347526458282,4.011813930593157,8.171301993600789,0.0,2.658134383460497
E02000074,18.980326960376836,27.514546965918534,3.768356885563868,35.74397339983375,10.917151565530618,0.11083402604599613,2.9648101967303964
