MSOA21CD,MSOA21NM,Log10-tot,Log10-VSO,Log10-ASB,Log10-Bur,Mixed tenures,Owned & Private,More private rent,More owned,More social rent,Log10-vac,Most deprived,Mixed extremes,Mixed less deprived,Mixed most deprived,Less deprived,Mainly flats,Mainly houses,Mixed types,Log10-price
E02000610,Kingston upon Thames 013,1.786085358296628,1.2338825280645818,1.3531966506742577,0.9082797645434988,0.0,0.0,1.0,0.0,0.0,0.7015196857213655,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.8134570089975695
E02000611,Kingston upon Thames 014,1.6207177307964058,1.0130538619504448,0.9526379394787896,0.96321146689228,0.0,0.0,0.0,1.0,0.0,0.4041205489574976,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.798522348427485
E02000612,Kingston upon Thames 015,1.5768326721641273,0.932546683336754,1.0055676206795603,0.9135032758704056,0.0,0.0,0.0,1.0,0.0,0.4670128764535229,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.7984280613006254
E02000613,Kingston upon Thames 016,1.8757203245205984,1.3284365926386266,1.3528415792402606,0.8571154034590382,0.0,1.0,0.0,0.0,0.0,0.6322401992124941,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.7961285864283743
E02000614,Kingston upon Thames 017,1.9354209556726536,1.3246311330857954,1.4067418639807143,0.8491821800983334,0.0,1.0,0.0,0.0,0.0,0.6660860194739936,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.739910104551041
E02000615,Kingston upon Thames 018,1.7526612840216258,1.0727842215946295,1.2012112860487507,0.9953920577596465,0.0,0.0,0.0,1.0,0.0,0.3990843953207754,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.73227073170246
E02000616,Kingston upon Thames 019,1.6299361214558794,1.0312297721355048,1.121406402484593,0.6889528835784948,0.0,0.0,0.0,1.0,0.0,0.4293155730727386,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.73342228963958
E02000617,Kingston upon Thames 020,1.8260097365164552,1.3444793628917378,1.2254095599475356,0.7670038896078462,0.0,0.0,0.0,1.0,0.0,0.3467874862246563,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.7367166462127295
E02000619,Lambeth 002,2.034473985589166,1.4495820193982174,1.527920792859822,1.118605670638821,0.0,0.0,0.0,0.0,1.0,0.9872401482652629,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.919599786873464
E02000620,Lambeth 003,2.114808766129132,1.443215217692975,1.5391766439054826,1.117963616253768,1.0,0.0,0.0,0.0,0.0,1.145021848987804,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.957249991822559
E02000621,Lambeth 004,2.0995241806211733,1.4705862056407148,1.585785004361081,1.0418543683579031,1.0,0.0,0.0,0.0,0.0,1.2384450224752095,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.9981301144674193
E02000622,Lambeth 005,2.1994574773798936,1.525055664534612,1.7794656182483202,1.2670402366016704,1.0,0.0,0.0,0.0,0.0,0.7296491082517484,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.893321109383237
E02000623,Lambeth 006,2.0581967545654973,1.4092630387694285,1.6794164679603398,1.2046689119245853,1.0,0.0,0.0,0.0,0.0,0.8067289032525475,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.8460741832485583
E02000624,Lambeth 007,2.046616003575631,1.4120899791930692,1.6610909748530405,1.095651608413175,1.0,0.0,0.0,0.0,0.0,0.6918558550920854,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.8897116173320185
E02000625,Lambeth 008,2.065219783295487,1.289083824147169,1.6632209181465818,1.1018342822211895,1.0,0.0,0.0,0.0,0.0,0.7653319683949896,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.8397219315727567
E02000626,Lambeth 009,2.0089837537508446,1.440061891801606,1.4476150296920518,1.1499426876711096,0.0,0.0,0.0,0.0,1.0,0.6518875261158044,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.816181225338566
E02000627,Lambeth 010,2.077654247810476,1.5571669287019845,1.5457207307805465,1.1277396422944916,1.0,0.0,0.0,0.0,0.0,0.7911713212515213,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.937172090972557
E02000628,Lambeth 011,2.323857888238623,1.6948973926547444,1.743159425351286,1.359481756852862,1.0,0.0,0.0,0.0,0.0,0.7044559023140499,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.8774751703947454
E02000629,Lambeth 012,2.159719289338171,1.5173278094261782,1.573311243553005,1.3133637307377066,0.0,0.0,1.0,0.0,0.0,0.9117894374105748,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.958102569244566
E02000630,Lambeth 013,2.2174490344850257,1.522302375611264,1.4973770001403297,1.327084151408544,0.0,0.0,1.0,0.0,0.0,0.8903549028746504,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.960909491707366
E02000631,Lambeth 014,2.0494853630799184,1.4383686657276458,1.421401879870403,1.1739251972991736,0.0,0.0,1.0,0.0,0.0,0.9301746062349874,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.918908258271757
E02000632,Lambeth 015,2.1034611233154386,1.357901532537175,1.636550748323799,1.3758898679289635,0.0,0.0,1.0,0.0,0.0,0.7988321455710568,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.929632125956597
E02000633,Lambeth 016,2.4366624514495747,1.718671805710346,1.8627181382685285,1.2998940446416165,1.0,0.0,0.0,0.0,0.0,0.7718141056754713,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.888906665476059
E02000634,Lambeth 017,2.15711888405392,1.4414692004402143,1.7367162280756576,1.3705642614117697,1.0,0.0,0.0,0.0,0.0,0.8109081186368943,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.901269837216206
E02000635,Lambeth 018,2.139117562795169,1.437884761100972,1.6909912044477704,1.2941554996106186,0.0,0.0,0.0,0.0,1.0,0.6142784371836221,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.9217147067804334
E02000636,Lambeth 019,2.1301079774931733,1.427810029808227,1.6779484189124605,1.2412933386209812,0.0,1.0,0.0,0.0,0.0,0.9533149105875904,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.973624299146824
E02000637,Lambeth 020,2.1306131843271685,1.446685185069763,1.590165075458313,1.2607056861537822,0.0,0.0,1.0,0.0,0.0,0.942923964395681,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.907380851051256
E02000638,Lambeth 021,2.048677768508452,1.4280023068718344,1.5835378110719036,1.0492180226701815,1.0,0.0,0.0,0.0,0.0,0.7871567366704567,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.848602311431234
E02000639,Lambeth 022,1.957350765735464,1.3211050378173628,1.4904889128660577,1.1280027415264695,1.0,0.0,0.0,0.0,0.0,0.9558417760992206,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.8261214260374863
E02000640,Lambeth 023,1.8730459721563744,1.2883105649007565,1.3818105083715018,1.006617542112115,0.0,1.0,0.0,0.0,0.0,0.7630495428025224,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.949665678251405
E02000641,Lambeth 024,1.8999520805686667,1.3953097521977411,1.4190044179959511,0.8217426791878111,0.0,0.0,0.0,0.0,1.0,0.7975572946693278,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.789750505278227
E02000642,Lambeth 025,1.9237308278323213,1.3643568498131742,1.344790726468581,1.1292787584639687,0.0,0.0,0.0,0.0,1.0,0.6827092021195172,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.862495039017349
