MSOA21CD,MSOA21NM,Log10-tot,Log10-VSO,Log10-ASB,Log10-Bur
E02000384,Hammersmith and Fulham 013,2.513193838949634,1.733272910510369,1.91161523819219,1.3080754836054465
E02000385,Hammersmith and Fulham 014,2.1662888980729726,1.5373680702441068,1.6805781029051323,1.2207971886137348
E02000386,Hammersmith and Fulham 015,2.0939235805762526,1.477807524783829,1.6154170153298235,1.088398554244487
E02000387,Hammersmith and Fulham 016,2.1556889199739,1.6116208756236245,1.5289230558531626,1.1786235955710762
E02000388,Hammersmith and Fulham 017,2.1622689656685297,1.4520997723471043,1.651765413576779,1.0628942456194164
E02000389,Hammersmith and Fulham 018,1.9290527723481108,1.2265518991169586,1.4055875388194212,0.8529423289716401
E02000390,Hammersmith and Fulham 019,2.0361841165491406,1.3085395974427267,1.6231424002959818,1.2842847455843243
E02000391,Hammersmith and Fulham 020,2.0335001216700026,1.2663442555878222,1.5216167606911284,1.080457048621124
E02000392,Hammersmith and Fulham 021,2.096058918486977,1.3482493616414635,1.5536913985356835,1.2031912192701406
E02000393,Hammersmith and Fulham 022,1.9163272613959939,1.237004211961442,1.3753069101277235,1.1371350149687705
E02000394,Hammersmith and Fulham 023,1.8527906351478391,1.215748808498602,1.4604164819184045,0.8007325201384874
E02000395,Hammersmith and Fulham 024,2.129482825131484,1.253018347330346,1.708528453037331,1.33893642722364
E02000396,Hammersmith and Fulham 025,1.9553717409573454,1.3091080871373295,1.4994397853076211,1.102654918123301
E02000397,Haringey 001,2.0335559964207772,1.3943541970882483,1.469454046757791,1.096674047513578
E02000398,Haringey 002,2.2529624226252323,1.5835264968867737,1.7591165504835913,1.531073223895609
E02000400,Haringey 004,1.973780953606654,1.3170518661084731,1.342757266343375,1.2043873230656614
E02000401,Haringey 005,2.1604464882753778,1.4824361687528638,1.5087651074752129,1.275724130399211
E02000402,Haringey 006,2.243991494693617,1.6119682799882113,1.6962891656882473,1.196201592010326
E02000403,Haringey 007,2.2444489943916053,1.6710762476117456,1.706596947045323,1.1982332180802924
E02000404,Haringey 008,2.203072556668865,1.5875060953380316,1.6363880201078558,1.3249858578577864
E02000405,Haringey 009,2.0859576882731425,1.3825560691380487,1.5908320115651313,1.2903908789273513
