msoa21cd,price,Log10-price
E02000440,6459.472809963788,3.810197074486338
E02000441,6249.994385420085,3.795879627202928
E02000442,6296.513602762861,3.7991001459311113
E02000443,5484.65188094993,3.7391490674658083
E02000444,6148.13187292615,3.7887431742261977
E02000445,5506.705221880058,3.740891828989484
E02000447,5572.31468468519,3.7460356343067156
E02000448,6866.883614032168,3.836759686652696
E02000449,6197.95708451951,3.7922485648008295
E02000451,5894.946515259068,3.7704798691031645
E02000452,5351.576852081907,3.728481766555166
E02000453,5305.448992379312,3.7247221434987074
E02000454,6753.217411584884,3.829510731525561
E02000455,6103.828997896679,3.785602358120129
E02000456,5900.225726688976,3.7708686268930256
E02000457,6135.863517843689,3.7878756908844418
E02000459,5252.393424366663,3.7203572489544214
E02000460,5431.432898241401,3.734914418484955
