MSOA21CD,MSOA21NM,Dist-Westminster018
E02000494,Hillingdon 001,23.79689059
E02000495,Hillingdon 002,22.54316373
E02000496,Hillingdon 003,25.85101069
E02000497,Hillingdon 004,21.2374817
E02000498,Hillingdon 005,22.95910902
E02000499,Hillingdon 006,19.84200583
E02000500,Hillingdon 007,21.58023309
E02000501,Hillingdon 008,19.79073764
E02000502,Hillingdon 009,21.25132527
E02000503,Hillingdon 010,19.97402399
E02000504,Hillingdon 011,22.92764782
E02000506,Hillingdon 013,23.83059841
E02000507,Hillingdon 014,21.37811454
E02000508,Hillingdon 015,23.71191972
E02000509,Hillingdon 016,24.683188
E02000510,Hillingdon 017,22.6998731
E02000511,Hillingdon 018,20.50739413
E02000512,Hillingdon 019,21.66839261
E02000513,Hillingdon 020,18.69506834
E02000514,Hillingdon 021,19.44039585
E02000515,Hillingdon 022,24.10617145
E02000516,Hillingdon 023,17.72766149
E02000517,Hillingdon 024,21.15984156
E02000518,Hillingdon 025,22.61554441
E02000519,Hillingdon 026,19.00343678
E02000520,Hillingdon 027,20.15272265
E02000521,Hillingdon 028,22.06645837
E02000522,Hillingdon 029,23.60221187
E02000523,Hillingdon 030,20.23967619
E02000524,Hillingdon 031,23.35419032
E02000525,Hillingdon 032,20.47881738
E02000526,Hounslow 001,8.356477919
E02000529,Hounslow 004,17.00277546
E02000530,Hounslow 005,18.60896276
E02000531,Hounslow 006,12.84812005
E02000532,Hounslow 007,9.277939138
E02000533,Hounslow 008,10.24580751
E02000534,Hounslow 009,14.6637457
E02000535,Hounslow 010,18.11894374
E02000536,Hounslow 011,17.00684764
E02000537,Hounslow 012,15.79021557
E02000538,Hounslow 013,19.33605426
E02000539,Hounslow 014,14.22834037
E02000540,Hounslow 015,15.55042543
E02000541,Hounslow 016,18.41703752
E02000542,Hounslow 017,17.46673357
E02000543,Hounslow 018,16.77004377
E02000544,Hounslow 019,15.82477448
E02000545,Hounslow 020,14.57935598
E02000546,Hounslow 021,18.35639705
E02000547,Hounslow 022,20.50262305
E02000548,Hounslow 023,22.53875771
E02000549,Hounslow 024,19.68416171
E02000550,Hounslow 025,21.01530285
E02000551,Hounslow 026,19.37512884
E02000552,Hounslow 027,21.91261356
E02000553,Hounslow 028,20.41702158
E02000554,Islington 001,7.029399958
E02000555,Islington 002,6.782389123
E02000556,Islington 003,6.561411658
E02000557,Islington 004,6.209464452
E02000558,Islington 005,6.166284493
E02000559,Islington 006,6.142510574
E02000560,Islington 007,5.783949773
E02000561,Islington 008,5.617899305
E02000562,Islington 009,5.770096492
E02000563,Islington 010,5.095387112
E02000564,Islington 011,5.171648819
E02000565,Islington 012,5.771702358
E02000566,Islington 013,4.985335599
E02000567,Islington 014,5.206913046
E02000568,Islington 015,4.248330482
E02000569,Islington 016,4.646941644
E02000570,Islington 017,3.980646953
E02000571,Islington 018,4.316734375
E02000572,Islington 019,3.346529822
E02000573,Islington 020,3.627123661
E02000574,Islington 021,2.931216488
E02000575,Islington 022,2.7588019
E02000576,Islington 023,3.402192608
E02000577,Kensington and Chelsea 001,5.94393747
E02000578,Kensington and Chelsea 002,6.227702839
E02000579,Kensington and Chelsea 003,6.07947837
E02000580,Kensington and Chelsea 004,5.150452541
E02000581,Kensington and Chelsea 005,5.675945448
E02000582,Kensington and Chelsea 006,4.615375986
E02000583,Kensington and Chelsea 007,5.29920344
E02000584,Kensington and Chelsea 008,4.220777534
E02000585,Kensington and Chelsea 009,5.21319498
E02000586,Kensington and Chelsea 010,3.771817482
E02000587,Kensington and Chelsea 011,4.595669613
E02000588,Kensington and Chelsea 012,2.412788574
E02000589,Kensington and Chelsea 013,4.195053443
E02000590,Kensington and Chelsea 014,2.982312522
